,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Dat e  R ec 'd,,C om pany,,C i t y   ( C ount y ),,#   A ffec t ed,,L ay off  Dat e( s ),,P hone  N um ber,,Uni on,,WA R N   I D,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,1 2 / 2 6 / 1 3,,"At o s  IT   So lut io ns  and 
,8 / 1 2 / 1 3,,"P ark   Vie w   Fe de ral 
Sav ings  Bank   ( First  
Nat io nal  Bank )",,So lo n  ( Cuy aho ga),,5 7,,"1 0 / 1 1 / 2 0 1 3  
t hro ugh 
1 / 1 4 / 2 0 1 4",,7 2 4 -9 8 3 -2 4 5 3,,N/ A,,0 0 3 -1 3 -0 1 1,
,8 / 9 / 1 3,,"JP M o rgan  Chase  
( M o rt gage   Bank )",,"Co lum bus 
( Frank lin)",,9 7,,1 0 / 1 1 / 2 0 1 3,,2 0 1 -5 9 5 -5 2 3 0,,N/ A,,0 1 1 -1 3 -0 1 0,
,8 / 9 / 1 3,,CSC  W o rldw ide,,"Co lum bus 
( Frank lin)",,9 4,,8 / 9 / 2 0 1 3,,6 1 4 -4 6 2 -2 2 2 8,,"Int e rnat io nal  Unio n  o f 
P aint e rs  and  Allie d 
T rade s  L o c al  Unio n;  
Glazie rs,  Arc hit e c t ural 
M e t al  and  Glass 
W o rk e rs  L o c al  Unio n;  
Int e rnat io nal 
Bro t he rho o d  o f 
E le c t ric al  W o rk e rs  L o c al 
Unio n;   Unit e d 
Bro t he rho o d  o f 
Carpe nt e rs  and  Jo ine rs 
o f  Am e ric a,  Carpe nt e rs 
Indust rial  Co unc il  L o c al 
Unio n;   and  She e t   M e t al 
W o rk e rs  Int e rnat io nal 
Asso c iat io n  L o c al  Unio n",,0 1 1 -1 3 -0 0 9,
,8 / 8 / 1 3,,O rm e t,,Hannibal  ( M o nro e ),,9 0 1,,"0 8 / 0 1 / 2 0 1 3  
t hro ugh 
1 0 / 3 1 / 2 0 1 3",,7 4 0 -4 8 3 -2 6 4 1,,"Unit e d  St e e l,  P ape r, 
Fo re st ry ,  Rubbe r, 
M anufac t uring,  E ne rgy , 
Allie d  Indust rial  and 
Se rv ic e   W o rk e rs 
Int e rnat io nal  Unio n",,0 1 5 -1 3 -0 0 7,
,7 / 2 6 / 1 3,,T im be rT e c h,,"Co lum bus 
( Frank lin)",,5 8,,9 / 2 7 / 2 0 1 3,,5 7 0 -5 5 8 -8 0 3 3,,N/ A,,0 1 1 -1 3 -0 0 6,
,7 / 2 4 / 1 3,,"BE F  Fo o ds,  INC  ( Bo b 
E v ans)",,Bidw e ll  ( Gallia),,5 2,,1 0 / 1 5 / 2 0 1 3,,6 1 4 -4 9 2 -4 9 2 1,,N/ A,,0 0 7 -1 3 -0 0 5,
,7 / 2 3 / 1 3,,Arro w   E le c t ro nic s,,So lo n  ( Cuy aho ga),,5 4,,9 / 2 7 / 2 0 1 3,,3 0 3 -8 2 4 -4 1 8 1,,N/ A,,0 0 3 -1 3 -0 0 4,
,7 / 1 5 / 1 3,,Re se r's  Fine   Fo o ds,,D e lpho s  ( Alle n),,1 0 4,,9 / 1 3 / 2 0 1 3,,5 0 3 -6 4 3 -6 4 3 1,,N/ A,,0 0 7 -1 3 -0 0 3,
,7 / 1 5 / 1 3,,"Nat io ns  L e nding 
Co rpo rat io n",,"Inde pe nde nc e  
( Cuy aho ga)",,4 8,,6 / 1 1 / 2 0 1 3,,8 6 6 -4 4 7 -0 2 6 6,,N/ A,,0 0 3 -1 3 -0 0 2,
,7 / 9 / 1 3,,"Co m m unit y   Unit e d 
He ad  St art   and  day  
Care",,"Cle v e land 
( Cuy aho ga)",,8 5,,"0 6 / 2 8 / 2 0 1 3  
t hro ugh 
0 8 / 3 1 / 2 0 1 3",,"2 1 6 -3 9 1 -8 3 3 3  
e x t .  1 1 1",,"Se rv ic e   E m plo y e e s 
Int e rnat io nal  Unio n 
L o c al  1 1 9 9",,0 0 3 -1 3 -0 0 1,
,6 / 2 7 / 1 3,,"W algre e ns  M e dic are  
P art   B  Call  Ce nt e r",,"W e st   Che st e r 
( But le r)",,1 2 1,,"0 7 / 0 1 / 2 0 1 3  
t hro ugh 
1 0 / 3 1 / 2 0 1 3",,5 1 3 -6 4 5 -5 6 3 9,,N/ A,,0 1 2 -1 2 -0 6 6,
,6 / 1 8 / 1 3,,D ialAm e ric a  M ark e t ing,,"Co lum bus 
( Frank lin)",,1 4 3,,8 / 2 3 / 2 0 1 3,,"1 -8 0 0 -5 3 1 -3 1 3 1  
e x t .  2 1 0 1",,N/ A,,0 1 1 -1 2 -0 6 5,
,6 / 1 7 / 1 3,,"Ve rizo n  W ire le ss-
D ublin",,D ublin  ( Frank lin),,6 2,,8 / 3 1 / 2 0 1 3,,2 4 8 -9 1 5 -3 8 6 8,,N/ A,,0 1 1 -1 2 -0 6 4,
,6 / 1 7 / 1 3,,"Ve rizo n  W ire le ss- 
Y o ungst o w n",,"Y o ungst o w n 
( M aho ning)",,6 4,,8 / 3 1 / 2 0 1 3,,2 4 8 -9 1 5 -3 8 6 8,,N/ A,,0 1 7 -1 2 -0 6 3,
,6 / 1 1 / 1 3,,St arr  Co m m o nw e alt h,,"Co lum bus 
( Frank lin)",,7 7,,8 / 1 3 / 2 0 1 3,,5 1 7 -6 3 0 -2 5 8 0,,"Glass,  M o lde rs,  P o t t e ry , 
P last ic s,  and  Allie d 
W o rk e rs  Int e rnat io nal 
Unio n  L o c al  No .  2 8 8",,0 1 1 -1 2 -0 6 1,
,6 / 5 / 1 3,,Bradle y   Caldw e ll  ( BCI),,"M aso n  ( W arre n)
Cinc innat i",,8 1,,8 / 5 / 2 0 1 3,,"5 7 0 -4 5 5 -7 5 1 1  
e x t .  2 8 5",,N/ A,,0 1 2 -1 2 -0 6 0,
,6 / 3 / 1 3,,M e t ro   Co nt aine r,,( Ham ilt o n),,4 5,,7 / 3 1 / 2 0 1 3,,5 1 3 -7 0 5 -2 9 4 7,,N/ A,,0 1 3 -1 2 -0 5 9,
,5 / 2 9 / 1 3,,"D iam o nd  Cry st al 
Brands",,P e rry sburg  ( W o o d),,1 2 5,,7 / 2 6 / 2 0 1 3,,9 1 2 -6 5 1 -4 8 9 8,,"Unit e d  Fo o d  and 
Co m m e rc ial  W o rk e rs 
L o c al  7 5",,0 0 7 -1 2 -0 5 8,
,5 / 2 4 / 1 3,,"CACI  Int e rnat io nal
( T e c hniGraphic s,  Inc .)",,W o o st e r  ( W ay ne ),,1 4 2,,7 / 2 2 / 2 0 1 3,,7 0 3 -4 6 0 -1 5 8 7,,N/ A,,0 0 7 -1 2 -0 5 7,
,5 / 6 / 1 3,,First   St ude nt,,"Co lum bus 
( Frank lin)",,3 0 0,,6 / 3 0 / 2 0 1 3,,"5 1 3 -7 6 1 -5 1 3 6  
e x t .  3",,N/ A,,0 1 1 -1 2 -0 5 6,
,5 / 2 / 1 3,,So de x o,,D ay t o n  ( Gre e ne ),,1 3 4,,6 / 3 0 / 2 0 1 3,,6 1 4 -3 8 1 -7 3 4 6,,"Unit e d  E le c t ric al,  Radio , 
and  M ac hine   W o rk e rs 
o f  Am e ric a",,0 0 7 -1 2 -0 5 5,
,4 / 2 6 / 1 3,,ACL ARA,,So lo n  ( Cuy aho ga),,7 9,,"1 0 / 2 0 1 3  
t hro ugh 
0 3 / 2 0 1 4",,3 1 4 -8 9 5 -8 0 2 0,,N/ A,,0 0 3 -1 2 -0 5 4,
,4 / 1 8 / 1 3,,"BX   So lut io ns,  Inc .",,Sw ant o n  ( L uc as),,9 5,,4 / 1 9 / 2 0 1 3,,4 1 9 -8 2 5 -4 5 4 0,,N/ A,,0 0 9 -1 2 -0 5 3,
,4 / 1 2 / 1 3,,"Co m m e rc ial  T urf 
P ro duc t s",,"St re e t sbo ro  
( P o rt age )",,2 9 0,,6 / 1 4 / 2 0 1 3,,3 3 0 -5 5 8 -3 2 3 7,,N/ A,,0 1 9 -1 2 -0 5 2,
,3 / 1 2 / 1 3,,Y RC  Fre ight,,( Ham ilt o n),,5 4 1,,5 / 1 3 / 2 0 1 3,,9 1 3 -3 4 4 -3 4 9 1,,T e am st e rs  L o c al  1 0 0,,0 1 3 -1 2 -0 4 9,
,3 / 1 2 / 1 3,,RR  D o nne lle y,,"Cinc innat i 
( Ham ilt o n)",,5 7,,5 / 1 3 / 2 0 1 3,,8 5 9 -9 0 5 -5 2 7 5,,N/ A,,0 1 3 -1 2 -0 4 8,
,3 / 7 / 1 3,,Se rc o,,Fairbo rn  ( Gre e ne ),,N/ A,,N/ A,,7 0 3 -9 3 9 -6 0 0 0,,N/ A,,0 0 7 -1 2 -0 4 7,
,3 / 6 / 1 3,,RR  D o nne lle y,,"Gre e nfie ld 
( Highland)",,1 6 6,,5 / 6 / 2 0 1 3,,9 3 7 -9 8 1 -6 3 2 1,,N/ A,,0 0 7 -1 2 -0 4 6,
,3 / 5 / 1 3,,"Co re   Sy st e m s,  L L C",,P aine sv ille   ( L ak e ),,2 8 0,,3 / 1 / 2 0 1 3,,4 4 0 -3 5 7 -8 0 0 0,,N/ A,,0 0 5 -1 2 -0 4 5,
,3 / 1 / 1 3,,M e ije r,,Ne w ark   ( L ic k ing),,1 8 7,,4 / 2 9 / 2 0 1 3,,6 1 6 -7 9 1 -5 3 0 4,,UFCW   L o c al  1 0 5 9,,0 0 7 -1 2 -0 4 4,
,2 / 2 8 / 1 3,,"M e rc y   Franc isc an 
T e rrac e",,"Cinc innat i 
( Ham ilt o n)",,1 6 5,,6 / 1 / 2 0 1 3,,5 1 3 -9 4 8 -6 7 0 6,,N/ A,,0 1 3 -1 2 -0 4 3,
,2 / 1 9 / 1 3,,Be av e rc re e k   Y M CA,,"Be av e rc re e k  
( M o nt go m e ry )",,8 2,,4 / 2 2 / 2 0 1 3,,"9 3 7- 2 2 3- 5 2 0 1  
e x t .  1 0 2 4",,N/ A,,0 0 7 -1 2- 0 4 1,
,2 / 6 / 1 3,,"Co re   Sy st e m s,  L L C",,"M t .  Gile ad 
( M o rro w )",,7 2,,2 / 1 4 / 2 0 1 3,,"4 1 9 -9 4 6 -2 0 2 0  
e x t .  1 1",,N/ A,,0 0 7 -1 2 -0 4 0,
,1 / 1 8 / 1 3,,"Ve rt is,  Inc .",,M e dina  ( M e dina),,5 2,,5 / 1 / 2 0 1 3,,4 1 0 -3 6 1 -8 3 6 2,,N/ A,,0 0 2 -1 2 -0 3 9,
,1 / 1 6 / 1 3,,P ark e r  Hy draulic s,,"Y o ungst o w n 
( M aho ning)",,6 3,,"0 5 / 1 7 / 2 0 1 3  
t hro ugh 
5 / 3 1 / 2 0 1 3",,3 3 0 -2 7 0 -6 1 0 2,,"Unit e d  St e e l  W o rk e rs 
L o c al  2 3 3 2",,0 1 7 -1 2 -0 3 8,
,1 / 1 4 / 1 3,,Supe rio r  Fibe rs,,Bre m e n    ( Fairfie ld),,1 0 6,,4 / 1 / 2 0 1 3,,"7 4 0 -5 6 9 -4 1 7 5  
e x t .  2 2 6",,Unit e d  St e e l  W o rk e rs,,0 2 0 -1 2 -0 3 7,
,4 / 4 / 1 2,,"Sum m it   E quipm e nt   &  
Supplie s",,"Ak ro n
( Sum m it )",,6,,3 / 2 6 / 2 0 1 2,,"( 3 3 0 )   4 9 3 -0 0 4 0  
e x t .  3 0 6",,N/ A,,0 0 2 -1 1 -0 5 4,
